mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_early_stopping,param_eta0,param_learning_rate,param_max_iter,param_penalty,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
16.498769426345824,0.4789791048396844,0.004598569869995117,0.0004863610312685102,0.001,False,0.001,constant,1000,l1,0.001,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001}",0.74125,0.771875,0.74375,0.748125,0.74875,0.75075,0.010921595579401384,1,0.811875,0.81140625,0.81546875,0.80578125,0.81328125,0.8115625,0.003217384419058423
13.911301469802856,0.622136811188177,0.00500035285949707,0.0006294888225672372,0.001,False,0.001,constant,2000,l1,0.001,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'penalty': 'l1', 'tol': 0.001}",0.74125,0.771875,0.74375,0.748125,0.74875,0.75075,0.010921595579401384,1,0.811875,0.81140625,0.81546875,0.80578125,0.81328125,0.8115625,0.003217384419058423
12.632692241668702,0.5564876360110872,0.004405546188354492,0.000484890320686371,0.001,False,0.001,constant,1500,l1,0.001,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1500, 'penalty': 'l1', 'tol': 0.001}",0.74125,0.771875,0.74375,0.748125,0.74875,0.75075,0.010921595579401384,1,0.811875,0.81140625,0.81546875,0.80578125,0.81328125,0.8115625,0.003217384419058423
30.266481971740724,2.07572841724428,0.004600381851196289,0.0004855448678984502,0.001,False,0.001,constant,1500,l1,0.0001,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1500, 'penalty': 'l1', 'tol': 0.0001}",0.745,0.76625,0.74,0.75,0.74875,0.75,0.00883883476483184,4,0.8190625,0.815625,0.8278125,0.8184375,0.82109375,0.8204062499999999,0.004095538731351434
36.87294163703918,2.3222654707418635,0.004804086685180664,0.0007457679708099076,0.001,False,0.001,constant,1000,l1,0.0001,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001}",0.745,0.76625,0.74,0.75,0.74875,0.75,0.00883883476483184,4,0.8190625,0.815625,0.8278125,0.8184375,0.82109375,0.8204062499999999,0.004095538731351434
31.996022129058836,1.8912452266432216,0.004203987121582031,0.00039704404832268124,0.001,False,0.001,constant,2000,l1,0.0001,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'penalty': 'l1', 'tol': 0.0001}",0.745,0.76625,0.74,0.75,0.74875,0.75,0.00883883476483184,4,0.8190625,0.815625,0.8278125,0.8184375,0.82109375,0.8204062499999999,0.004095538731351434
4.305796051025391,0.3309878013308485,0.0046005725860595705,0.00048622557771986545,0.001,True,0.001,constant,1000,l1,0.001,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001}",0.745625,0.755625,0.7325,0.746875,0.743125,0.74475,0.007433034373659233,7,0.7896875,0.78390625,0.79375,0.789375,0.7940625,0.79015625,0.0036896180357863417
4.3053031921386715,0.4131429471804996,0.0050045490264892575,6.512974196992444e-06,0.001,True,0.001,constant,1000,l1,0.0001,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001}",0.745625,0.755625,0.7325,0.746875,0.743125,0.74475,0.007433034373659233,7,0.7896875,0.78390625,0.79375,0.789375,0.7940625,0.79015625,0.0036896180357863417
4.253398084640503,0.36464103293235184,0.0050011157989501955,5.983118874114274e-06,0.001,True,0.001,constant,1500,l1,0.001,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1500, 'penalty': 'l1', 'tol': 0.001}",0.745625,0.755625,0.7325,0.746875,0.743125,0.74475,0.007433034373659233,7,0.7896875,0.78390625,0.79375,0.789375,0.7940625,0.79015625,0.0036896180357863417
4.337535858154297,0.35333130340762436,0.004405832290649414,0.00048436187191410336,0.001,True,0.001,constant,1500,l1,0.0001,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1500, 'penalty': 'l1', 'tol': 0.0001}",0.745625,0.755625,0.7325,0.746875,0.743125,0.74475,0.007433034373659233,7,0.7896875,0.78390625,0.79375,0.789375,0.7940625,0.79015625,0.0036896180357863417
4.270518016815186,0.3482572053572647,0.004999876022338867,5.61575718705646e-06,0.001,True,0.001,constant,2000,l1,0.0001,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'penalty': 'l1', 'tol': 0.0001}",0.745625,0.755625,0.7325,0.746875,0.743125,0.74475,0.007433034373659233,7,0.7896875,0.78390625,0.79375,0.789375,0.7940625,0.79015625,0.0036896180357863417
4.136994934082031,0.26432939546028955,0.004603672027587891,0.0004904108805173754,0.001,True,0.001,constant,2000,l1,0.001,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'penalty': 'l1', 'tol': 0.001}",0.745625,0.755625,0.7325,0.746875,0.743125,0.74475,0.007433034373659233,7,0.7896875,0.78390625,0.79375,0.789375,0.7940625,0.79015625,0.0036896180357863417
4.478009557723999,0.03527470922590523,0.004799318313598633,0.00040398099939945573,0.001,False,0.001,constant,1500,l1,0.01,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1500, 'penalty': 'l1', 'tol': 0.01}",0.74125,0.750625,0.745,0.74625,0.7375,0.744125,0.004465142774872922,13,0.800625,0.793125,0.801875,0.7990625,0.796875,0.7983125,0.003084740669813283
6.127398109436035,0.15231433781820097,0.004801130294799805,0.0007459325327758599,0.001,False,0.001,constant,1000,l1,0.01,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.01}",0.74125,0.750625,0.745,0.74625,0.7375,0.744125,0.004465142774872922,13,0.800625,0.793125,0.801875,0.7990625,0.796875,0.7983125,0.003084740669813283
5.217987298965454,0.28286794144399274,0.005002784729003906,0.0008928238568614179,0.001,False,0.001,constant,2000,l1,0.01,"{'alpha': 0.001, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'penalty': 'l1', 'tol': 0.01}",0.74125,0.750625,0.745,0.74625,0.7375,0.744125,0.004465142774872922,13,0.800625,0.793125,0.801875,0.7990625,0.796875,0.7983125,0.003084740669813283
3.6753959178924562,0.0641164993208874,0.004802131652832031,0.0007445555877059305,0.001,True,0.001,constant,1500,l1,0.01,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1500, 'penalty': 'l1', 'tol': 0.01}",0.745,0.75625,0.726875,0.745,0.73875,0.742375,0.00958840445538253,16,0.79,0.78171875,0.79171875,0.789375,0.7909375,0.7887500000000001,0.003605280415584893
3.711599016189575,0.049326209072088886,0.004998636245727539,0.0006333153317622948,0.001,True,0.001,constant,1000,l1,0.01,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.01}",0.745,0.75625,0.726875,0.745,0.73875,0.742375,0.00958840445538253,16,0.79,0.78171875,0.79171875,0.789375,0.7909375,0.7887500000000001,0.003605280415584893
3.6371163368225097,0.02987914689052911,0.004403400421142578,0.0004861541653719904,0.001,True,0.001,constant,2000,l1,0.01,"{'alpha': 0.001, 'early_stopping': True, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'penalty': 'l1', 'tol': 0.01}",0.745,0.75625,0.726875,0.745,0.73875,0.742375,0.00958840445538253,16,0.79,0.78171875,0.79171875,0.789375,0.7909375,0.7887500000000001,0.003605280415584893
3.7572001457214355,0.23950151339331366,0.004800653457641602,0.00040066384020426456,0.01,False,0.001,constant,1000,l2,0.001,"{'alpha': 0.01, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001}",0.730625,0.76,0.72625,0.741875,0.73,0.7377499999999999,0.012289477206130469,19,0.81484375,0.81296875,0.823125,0.81796875,0.81390625,0.8165625000000001,0.0036869703009381476
4.009195756912232,0.25066239596161055,0.004801654815673828,0.0007509875457671884,0.01,False,0.001,constant,2000,l2,0.001,"{'alpha': 0.01, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'penalty': 'l2', 'tol': 0.001}",0.730625,0.76,0.72625,0.741875,0.73,0.7377499999999999,0.012289477206130469,19,0.81484375,0.81296875,0.823125,0.81796875,0.81390625,0.8165625000000001,0.0036869703009381476
3.8173954486846924,0.08972346180813248,0.004803276062011719,0.0007518736587865865,0.01,False,0.001,constant,1500,l2,0.001,"{'alpha': 0.01, 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'constant', 'max_iter': 1500, 'penalty': 'l2', 'tol': 0.001}",0.730625,0.76,0.72625,0.741875,0.73,0.7377499999999999,0.012289477206130469,19,0.81484375,0.81296875,0.823125,0.81796875,0.81390625,0.8165625000000001,0.0036869703009381476
